word	nodeType	unit
old	ADJ	grimm
hard	ADJ	grimm
asleep	ADJ	grimm
invisible	ADJ	grimm
able	ADJ	grimm
good	ADJ	grimm
willing	ADJ	grimm
fine	ADJ	grimm
royal	ADJ	grimm
outer	ADJ	grimm
eld	ADJ	grimm
little	ADJ	grimm
loud	ADJ	grimm
asleep	ADJ	grimm
eld	ADJ	grimm
wise	ADJ	grimm
fine	ADJ	grimm
eager	ADJ	grimm
young	ADJ	grimm
happy	ADJ	grimm
uneasy	ADJ	grimm
sure	ADJ	grimm
eld	ADJ	grimm
afraid	ADJ	grimm
many	ADJ	grimm
vain	ADJ	grimm
ready	ADJ	grimm
safe	ADJ	grimm
eld	ADJ	grimm
own	ADJ	grimm
open	ADJ	grimm
eld	ADJ	grimm
old	ADJ	grimm
young	ADJ	grimm
right	ADJ	grimm
silly	ADJ	grimm
eld	ADJ	grimm
delightful	ADJ	grimm
little	ADJ	grimm
loud	ADJ	grimm
young	ADJ	grimm
sure	ADJ	grimm
right	ADJ	grimm
eld	ADJ	grimm
third	ADJ	grimm
glittering	ADJ	grimm
loud	ADJ	grimm
young	ADJ	grimm
eld	ADJ	grimm
great	ADJ	grimm
little	ADJ	grimm
handsome	ADJ	grimm
same	ADJ	grimm
young	ADJ	grimm
young	ADJ	grimm
usual	ADJ	grimm
tired	ADJ	grimm
heavy	ADJ	grimm
warm	ADJ	grimm
other	ADJ	grimm
fine	ADJ	grimm
illuminated	ADJ	grimm
merry	ADJ	grimm
invisible	ADJ	grimm
empty	ADJ	grimm
young	ADJ	grimm
frightened	ADJ	grimm
eld	ADJ	grimm
eld	ADJ	grimm
opposite	ADJ	grimm
other	ADJ	grimm
next	ADJ	grimm
tired	ADJ	grimm
safe	ADJ	grimm
fine	ADJ	grimm
more	ADJ	grimm
strange	ADJ	grimm
second	ADJ	grimm
third	ADJ	grimm
third	ADJ	grimm
golden	ADJ	grimm
golden	ADJ	grimm
true	ADJ	grimm
young	ADJ	grimm
eld	ADJ	grimm
very	ADJ	grimm
close	ADJ	grimm
sparkling	ADJ	grimm
sudden	ADJ	grimm
great	ADJ	grimm
real	ADJ	grimm
enchanted	ADJ	grimm
many	ADJ	grimm
long	ADJ	grimm
great	ADJ	grimm
enchanted	ADJ	grimm
nasty	ADJ	grimm
dirty	ADJ	grimm
snug	ADJ	grimm
little	ADJ	grimm
yellow	ADJ	grimm
green	ADJ	grimm
own	ADJ	grimm
snug	ADJ	grimm
little	ADJ	grimm
nice	ADJ	grimm
little	ADJ	grimm
well	ADJ	grimm
filthy	ADJ	grimm
little	ADJ	grimm
full	ADJ	grimm
least	ADJ	grimm
great	ADJ	grimm
small	ADJ	grimm
large	ADJ	grimm
angry	ADJ	grimm
easy	ADJ	grimm
pretty	ADJ	grimm
heavy	ADJ	grimm
blue	ADJ	grimm
gloomy	ADJ	grimm
calm	ADJ	grimm
own	ADJ	grimm
great	ADJ	grimm
great	ADJ	grimm
many	ADJ	grimm
full	ADJ	grimm
golden	ADJ	grimm
long	ADJ	grimm
full	ADJ	grimm
cheerful	ADJ	grimm
happy	ADJ	grimm
beautiful	ADJ	grimm
next	ADJ	grimm
broad	ADJ	grimm
more	ADJ	grimm
sorrowful	ADJ	grimm
dark	ADJ	grimm
grey	ADJ	grimm
overspread	ADJ	grimm
own	ADJ	grimm
poor	ADJ	grimm
golden	ADJ	grimm
fair	ADJ	grimm
tall	ADJ	grimm
other	ADJ	grimm
long	ADJ	grimm
fine	ADJ	grimm
more	ADJ	grimm
long	ADJ	grimm
true	ADJ	grimm
tired	ADJ	grimm
sure	ADJ	grimm
good	ADJ	grimm
much	ADJ	grimm
tired	ADJ	grimm
last	ADJ	grimm
sorry	ADJ	grimm
black	ADJ	grimm
muddy	ADJ	grimm
mighty	ADJ	grimm
own	ADJ	grimm
lofty	ADJ	grimm
solid	ADJ	grimm
great	ADJ	grimm
full	ADJ	grimm
high	ADJ	grimm
small	ADJ	grimm
other	ADJ	grimm
tall	ADJ	grimm
little	ADJ	grimm
big	ADJ	grimm
fine	ADJ	grimm
very	ADJ	grimm
little	ADJ	grimm
blue	ADJ	grimm
red	ADJ	grimm
dreadful	ADJ	grimm
frightened	ADJ	grimm
own	ADJ	grimm
high	ADJ	grimm
great	ADJ	grimm
great	ADJ	grimm
large	ADJ	grimm
high	ADJ	grimm
big	ADJ	grimm
least	ADJ	grimm
large	ADJ	grimm
small	ADJ	grimm
grand	ADJ	grimm
easy	ADJ	grimm
great	ADJ	grimm
next	ADJ	grimm
last	ADJ	grimm
asleep	ADJ	grimm
angry	ADJ	grimm
asleep	ADJ	grimm
easy	ADJ	grimm
uneasy	ADJ	grimm
dreadful	ADJ	grimm
very	ADJ	grimm
black	ADJ	grimm
stormy	ADJ	grimm
great	ADJ	grimm
black	ADJ	grimm
own	ADJ	grimm
very	ADJ	grimm
royal	ADJ	grimm
young	ADJ	grimm
royal	ADJ	grimm
short	ADJ	grimm
young	ADJ	grimm
royal	ADJ	grimm
wretched	ADJ	grimm
disreputable	ADJ	grimm
young	ADJ	grimm
angry	ADJ	grimm
honest	ADJ	grimm
uneasy	ADJ	grimm
young	ADJ	grimm
respectable	ADJ	grimm
old	ADJ	grimm
easy	ADJ	grimm
bloody	ADJ	grimm
footed	ADJ	grimm
other	ADJ	grimm
large	ADJ	grimm
small	ADJ	grimm
crafty	ADJ	grimm
general	ADJ	grimm
good	ADJ	grimm
fine	ADJ	grimm
long	ADJ	grimm
bushy	ADJ	grimm
red	ADJ	grimm
high	ADJ	grimm
minute	ADJ	grimm
footed	ADJ	grimm
uneasy	ADJ	grimm
afraid	ADJ	grimm
other	ADJ	grimm
first	ADJ	grimm
second	ADJ	grimm
third	ADJ	grimm
young	ADJ	grimm
honourable	ADJ	grimm
great	ADJ	grimm
last	ADJ	grimm
young	ADJ	grimm
satisfied	ADJ	grimm
merry	ADJ	grimm
fine	ADJ	grimm
young	ADJ	grimm
cool	ADJ	grimm
golden	ADJ	grimm
favourite	ADJ	grimm
high	ADJ	grimm
deep	ADJ	grimm
fine	ADJ	grimm
nasty	ADJ	grimm
golden	ADJ	grimm
fine	ADJ	grimm
golden	ADJ	grimm
silly	ADJ	grimm
able	ADJ	grimm
little	ADJ	grimm
young	ADJ	grimm
overjoyed	ADJ	grimm
next	ADJ	grimm
strange	ADJ	grimm
gentle	ADJ	grimm
little	ADJ	grimm
true	ADJ	grimm
cool	ADJ	grimm
frightened	ADJ	grimm
nasty	ADJ	grimm
true	ADJ	grimm
cool	ADJ	grimm
young	ADJ	grimm
tired	ADJ	grimm
unwilling	ADJ	grimm
own	ADJ	grimm
light	ADJ	grimm
mistaken	ADJ	grimm
same	ADJ	grimm
more	ADJ	grimm
true	ADJ	grimm
cool	ADJ	grimm
third	ADJ	grimm
same	ADJ	grimm
following	ADJ	grimm
handsome	ADJ	grimm
beautiful	ADJ	grimm
spiteful	ADJ	grimm
cruel	ADJ	grimm
young	ADJ	grimm
sure	ADJ	grimm
gay	ADJ	grimm
beautiful	ADJ	grimm
golden	ADJ	grimm
faithful	ADJ	grimm
dear	ADJ	grimm
long	ADJ	grimm
nigh	ADJ	grimm
full	ADJ	grimm
great	ADJ	grimm
many	ADJ	grimm
certain	ADJ	grimm
great	ADJ	grimm
little	ADJ	grimm
good	ADJ	grimm
much	ADJ	grimm
great	ADJ	grimm
little	ADJ	grimm
little	ADJ	grimm
white	ADJ	grimm
brown	ADJ	grimm
good	ADJ	grimm
sweet	ADJ	grimm
untrue	ADJ	grimm
fat	ADJ	grimm
fat	ADJ	grimm
merry	ADJ	grimm
top	ADJ	grimm
odd	ADJ	grimm
uncommon	ADJ	grimm
usual	ADJ	grimm
bad	ADJ	grimm
more	ADJ	grimm
white	ADJ	grimm
good	ADJ	grimm
fat	ADJ	grimm
good	ADJ	grimm
satisfied	ADJ	grimm
licking	ADJ	grimm
good	ADJ	grimm
black	ADJ	grimm
white	ADJ	grimm
single	ADJ	grimm
white	ADJ	grimm
whole	ADJ	grimm
few	ADJ	grimm
such	ADJ	grimm
odd	ADJ	grimm
thoughtful	ADJ	grimm
dark	ADJ	grimm
grey	ADJ	grimm
long	ADJ	grimm
mousecleaned	ADJ	grimm
greedy	ADJ	grimm
filled	ADJ	grimm
third	ADJ	grimm
more	ADJ	grimm
suspicious	ADJ	grimm
dainty	ADJ	grimm
empty	ADJ	grimm
true	ADJ	grimm
